# Constructed from biom file
#OTU ID	F1C	F1E	F2A	F2B	F2D	F2E	F3B	F3E	N1A	N1B	N1C	N1D	N1E	N2A	N2B	N2D	N2E	N3A	N3B	N3C	N3D	N3E
b4a4241e6f271c06b6f527ec76592e6a	0.0	30.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	12.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0
aa99f660056048f3c31cf9ba3cd51918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3ebe761bfb1238c87195d431f41bf976	0.0	44.0	0.0	0.0	32.0	0.0	34.0	0.0	0.0	0.0	18.0	0.0	0.0	61.0	320.0	0.0	31.0	192.0	0.0	58.0	0.0	144.0
2f49affea1aa1db3f453ce4b3066a63f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	29.0	7.0	0.0	0.0	0.0	17.0	0.0	0.0
5dc6b84e6096dcaadc5c623180fd4f96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3eac8b038216422f95f2431ce4b2cf4e	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fe0ee07c8a03dcc118f7d3ceb7ae8f47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
726673fad708d821fb11c730b03fe7d7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a49a4330179edf3bc0d66d3adb3a3d3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0
308df1fb41d807a16562a9960b47db39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0
3725e63715d30df08b67d09db5ca80c4	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	20.0	0.0	0.0
